Scheme Code,Division Code,Division Description,Treasury Code,Treasury,Grant Number,Grant Head Description,Major Head Code,Major Head Description,Scheme Code Description,Standard Object Code,Standard Object Description,Plan / Non-Plan,Voted / Charged,fiscal_year,Progressive Allotment,Actual Progressive Expenditure upto month (February),Provisional Current Month Expenditure(March),Total Expenditure Upto Month (March),% A/E,overall expenditure,excess
4202012020500,800.0,AGRA,7.0,MATHURA,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,"राजकीय उ.मा.विद्यालयों का भवन निर्माण, विस्तार, विद्युतीकरण एवं भूमि/भवन क्रय (जिला योजना)",24,वृहत् निर्माण कार्य,N,V,2020-2021,3751800,3751800.0,0,3751800.0,100.0,3751800.0,0.0
8009011010100,800.0,AGRA,7.0,MATHURA,71,शिक्षा विभाग (प्राथमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,580000.0,0,580000.0,0.0,580000.0,-580000.0
8009011010100,800.0,AGRA,68.0,FIROZABAD,71,शिक्षा विभाग (प्राथमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,1450000.0,0,1450000.0,0.0,1450000.0,-1450000.0
8009011010100,800.0,AGRA,10.0,ETAH,71,शिक्षा विभाग (प्राथमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,598710.0,0,598710.0,0.0,598710.0,-598710.0
8009011010100,800.0,AGRA,6.0,ALIGARH,71,शिक्षा विभाग (प्राथमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,1381051.0,0,1381051.0,0.0,1381051.0,-1381051.0
8009011010100,800.0,AGRA,8.0,AGRA,71,शिक्षा विभाग (प्राथमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,2769759.0,0,2769759.0,0.0,2769759.0,-2769759.0
8009011010200,800.0,AGRA,9.0,MAINPURI,72,शिक्षा विभाग (माध्यमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,15094951.0,0,15094951.0,0.0,15094951.0,-15094951.0
8009011010200,800.0,AGRA,7.0,MATHURA,72,शिक्षा विभाग (माध्यमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,9522214.0,955088,10477302.0,0.0,9522214.0,-9522214.0
4202012033300,800.0,AGRA,9.0,MAINPURI,73,शिक्षा विभाग (उच्च शिक्षा),4202,,राजकीय उपाधि महाविद्यालय,25,लघु निर्माण कार्य,N,V,2020-2021,100000,0.0,0,0.0,0.0,0.0,0.0
4202012033300,800.0,AGRA,7.0,MATHURA,73,शिक्षा विभाग (उच्च शिक्षा),4202,,राजकीय उपाधि महाविद्यालय,25,लघु निर्माण कार्य,N,V,2020-2021,100000,0.0,0,0.0,0.0,0.0,0.0
4202012030500,800.0,AGRA,6.0,ALIGARH,73,शिक्षा विभाग (उच्च शिक्षा),4202,,राजकीय महाविद्यालय़ों के निर्माणाधीन भवनों को पूर्ण किया जाना,24,वृहत् निर्माण कार्य,N,V,2020-2021,5000000,5000000.0,0,5000000.0,100.0,5000000.0,0.0
4202012033300,800.0,AGRA,8.0,AGRA,73,शिक्षा विभाग (उच्च शिक्षा),4202,,राजकीय उपाधि महाविद्यालय,25,लघु निर्माण कार्य,N,V,2020-2021,100000,100000.0,0,100000.0,100.0,100000.0,0.0
4202012033300,800.0,AGRA,6.0,ALIGARH,73,शिक्षा विभाग (उच्च शिक्षा),4202,,राजकीय उपाधि महाविद्यालय,25,लघु निर्माण कार्य,N,V,2020-2021,400000,400000.0,0,400000.0,100.0,400000.0,0.0
8009011010100,800.0,AGRA,8.0,AGRA,73,शिक्षा विभाग (उच्च शिक्षा),8009,,-,0,-,N,V,2020-2021,0,370000.0,0,370000.0,0.0,370000.0,-370000.0
8009011010100,800.0,AGRA,6.0,ALIGARH,73,शिक्षा विभाग (उच्च शिक्षा),8009,,-,0,-,N,V,2020-2021,0,774128.0,0,774128.0,0.0,774128.0,-774128.0
8009011010100,800.0,AGRA,10.0,ETAH,73,शिक्षा विभाग (उच्च शिक्षा),8009,,-,0,-,N,V,2020-2021,0,1082983.0,0,1082983.0,0.0,1082983.0,-1082983.0
8009011010200,800.0,AGRA,10.0,ETAH,73,शिक्षा विभाग (उच्च शिक्षा),8009,,-,0,-,N,V,2020-2021,0,5355942.0,0,5355942.0,0.0,5355942.0,-5355942.0
8009011010200,800.0,AGRA,78.0,HATHRAS,73,शिक्षा विभाग (उच्च शिक्षा),8009,,-,0,-,N,V,2020-2021,0,6048142.0,0,6048142.0,0.0,6048142.0,-6048142.0
8009011010200,800.0,AGRA,68.0,FIROZABAD,73,शिक्षा विभाग (उच्च शिक्षा),8009,,-,0,-,N,V,2020-2021,0,4423019.0,0,4423019.0,0.0,4423019.0,-4423019.0
8009011010200,800.0,AGRA,6.0,ALIGARH,73,शिक्षा विभाग (उच्च शिक्षा),8009,,-,0,-,N,V,2020-2021,0,6470293.0,0,6470293.0,0.0,6470293.0,-6470293.0
8009011010200,800.0,AGRA,8.0,AGRA,73,शिक्षा विभाग (उच्च शिक्षा),8009,,-,0,-,N,V,2020-2021,0,9802576.0,0,9802576.0,0.0,9802576.0,-9802576.0
8009011010200,800.0,AGRA,9.0,MAINPURI,73,शिक्षा विभाग (उच्च शिक्षा),8009,,-,0,-,N,V,2020-2021,0,4691567.0,0,4691567.0,0.0,4691567.0,-4691567.0
8009011010200,800.0,AGRA,8.0,AGRA,71,शिक्षा विभाग (प्राथमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,2292591.0,1100400,3392991.0,0.0,2292591.0,-2292591.0
8009011010200,800.0,AGRA,6.0,ALIGARH,71,शिक्षा विभाग (प्राथमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,2234468.0,0,2234468.0,0.0,2234468.0,-2234468.0
8009011010100,800.0,AGRA,9.0,MAINPURI,71,शिक्षा विभाग (प्राथमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,1500000.0,0,1500000.0,0.0,1500000.0,-1500000.0
8009011010200,800.0,AGRA,68.0,FIROZABAD,71,शिक्षा विभाग (प्राथमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,5161054.0,0,5161054.0,0.0,5161054.0,-5161054.0
4202012021700,800.0,AGRA,8.0,AGRA,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,राजकीय इण्टर कालेज की स्थापना,24,वृहत् निर्माण कार्य,N,V,2020-2021,2392000,2392000.0,0,2392000.0,100.0,2392000.0,0.0
4202012021700,800.0,AGRA,6.0,ALIGARH,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,राजकीय इण्टर कालेज की स्थापना,24,वृहत् निर्माण कार्य,N,V,2020-2021,5000000,5000000.0,0,5000000.0,100.0,5000000.0,0.0
4202012021700,800.0,AGRA,68.0,FIROZABAD,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,राजकीय इण्टर कालेज की स्थापना,24,वृहत् निर्माण कार्य,N,V,2020-2021,2392000,2392000.0,0,2392000.0,100.0,2392000.0,0.0
4202012021700,800.0,AGRA,88.0,KANSHI RAM NAGAR,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,राजकीय इण्टर कालेज की स्थापना,24,वृहत् निर्माण कार्य,N,V,2020-2021,2392000,2392000.0,0,2392000.0,100.0,2392000.0,0.0
4202012022700,800.0,AGRA,9.0,MAINPURI,72,शिक्षा विभाग (माध्यमिक शिक्षा),4202,,सैनिक स्कूलों की स्थापना,24,वृहत् निर्माण कार्य,N,V,2020-2021,35000000,35000000.0,0,35000000.0,100.0,35000000.0,0.0
8009011010100,800.0,AGRA,6.0,ALIGARH,72,शिक्षा विभाग (माध्यमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,7397181.0,0,7397181.0,0.0,7397181.0,-7397181.0
8009011010100,800.0,AGRA,10.0,ETAH,72,शिक्षा विभाग (माध्यमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,4638096.0,0,4638096.0,0.0,4638096.0,-4638096.0
8009011010200,800.0,AGRA,10.0,ETAH,71,शिक्षा विभाग (प्राथमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,414211.0,0,414211.0,0.0,414211.0,-414211.0
8009011010100,800.0,AGRA,78.0,HATHRAS,72,शिक्षा विभाग (माध्यमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,290000.0,0,290000.0,0.0,290000.0,-290000.0
8009011010100,800.0,AGRA,88.0,KANSHI RAM NAGAR,72,शिक्षा विभाग (माध्यमिक शिक्षा),8009,,-,0,-,N,V,2020-2021,0,450000.0,0,450000.0,0.0,450000.0,-450000.0
